Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Priority;Status;Sprint;Custom field (Story Points);ë£ Original Estimate;ë£ Remaining Estimate;Labels;Labels;Labels;Created;Custom field (Epic Link)
Sub-task;Project1-1917;14168;13569;Title task 1;assignee1;Medium;In Progress;Project1 Sprint 14;;30600;30600;;;;18/Feb/19 2:08 PM;
Bug;Project1-1886;14047;;Title task 2;assignee2;Medium;In Progress;Project1 Sprint 14;3.0;;14400;SDK-1;;;04/Feb/19 10:55 AM;
Sub-task;Project1-1867;14025;13963;Title task 3;assignee3;Medium;In Progress;Project1 Sprint 14;;61200;50400;;;;01/Feb/19 5:01 PM;
Sub-task;Project1-1863;14021;13831;Title task 4;assignee4;Medium;In Progress;Project1 Sprint 14;;122400;61200;;;;01/Feb/19 4:50 PM;
Sub-task;Project1-1823;13977;13933;Title task 5;assignee5;Medium;In Progress;Project1 Sprint 14;;122400;122220;;;;01/Feb/19 12:27 PM;
Sub-task;Project1-1811;13961;13838;Title task 6;assignee3;Medium;In Progress;Project1 Sprint 14;;91800;70200;;;;01/Feb/19 11:22 AM;
Sub-task;Project1-1807;13957;13830;Title task 7;assignee6;Medium;In Progress;Project1 Sprint 14;;153000;75600;;;;01/Feb/19 11:10 AM;
Story;Project1-1786;13936;;Title task 8;assignee7;Medium;In Progress;Project1 Sprint 14;13.0;275400;122400;;;;31/01/19 17:19;
Story;Project1-1783;13933;;Title task 9;;Medium;In Progress;Project1 Sprint 14;55.0;226800;122220;;;;31/01/19 15:45;Project1-326
Task;Project1-1782;13932;;Title task 10;assignee3;Medium;In Progress;Project1 Sprint 14;13.0;61200;61200;;;;31/01/19 15:28;
Bug;Project1-1756;13844;;Title task 11;assignee1;Medium;In Progress;Project1 Sprint 14;21.0;30600;28800;Collection_Service;;;28/01/19 12:21;
Story;Project1-1750;13838;;Title task 12;;Medium;In Progress;Project1 Sprint 14;21.0;167400;70200;;;;28/01/19 08:20;Project1-1768
Story;Project1-1748;13830;;Title task 13;;High;In Progress;Project1 Sprint 14;13.0;214200;75600;;;;27/01/19 09:48;Project1-1768
